bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
266,2600.000000,16400.000000,3522.000000,14100.000000,900.000000,1800.000000,5500.000000,285186.000000,200.000000,4728.000000,1300.000000,2400.000000,10400.000000,,3300.000000,6100.000000,600.000000,5900.000000,6800.000000,1500.000000
267,1300.000000,32100.000000,4127.000000,57000.000000,1200.000000,1500.000000,1000.000000,60200.000000,827.000000,3530.000000,200.000000,1700.000000,5900.000000,,3200.000000,5700.000000,1100.000000,15500.000000,10200.000000,400.000000
268,23500.000000,82200.000000,5324.000000,36500.000000,0.000000,700.000000,2800.000000,122000.000000,0.000000,3921.000000,5832.000000,3100.000000,0.000000,,100.000000,38200.000000,2600.000000,14800.000000,300.000000,0.000000
269,17800.000000,93930.000000,200.000000,41400.000000,800.000000,3300.000000,1600.000000,51300.000000,0.000000,5273.000000,600.000000,400.000000,11100.000000,,600.000000,12100.000000,400.000000,6500.000000,3300.000000,443.000000
270,0.000000,8900.000000,0.000000,28900.000000,3000.000000,500.000000,2700.000000,229500.000000,200.000000,0.000000,1200.000000,2200.000000,44000.000000,,0.000000,8000.000000,6000.000000,5600.000000,1400.000000,1513.000000
271,1500.000000,7500.000000,3784.000000,13600.000000,2000.000000,1000.000000,2800.000000,183300.000000,600.000000,1201.000000,68.000000,16100.000000,10200.000000,,200.000000,9800.000000,600.000000,1400.000000,2100.000000,0.000000
272,300.000000,33700.000000,8768.000000,73900.000000,200.000000,1200.000000,3900.000000,138300.000000,4202.000000,2425.000000,200.000000,0.000000,4800.000000,,100.000000,4900.000000,3200.000000,15000.000000,8100.000000,698.000000
273,2700.000000,30400.000000,2662.000000,69500.000000,100.000000,1000.000000,5500.000000,65100.000000,3750.000000,5572.000000,400.000000,3300.000000,1300.000000,,3600.000000,4500.000000,900.000000,4100.000000,2300.000000,416.000000
274,0.000000,24700.000000,600.000000,5300.000000,100.000000,1000.000000,2200.000000,15600.000000,0.000000,6037.000000,600.000000,0.000000,200.000000,,200.000000,2000.000000,600.000000,2800.000000,1000.000000,200.000000
275,4100.000000,35100.000000,1516.000000,32900.000000,6600.000000,10700.000000,1000.000000,27100.000000,0.000000,1521.000000,2100.000000,300.000000,8600.000000,,200.000000,7200.000000,2700.000000,3200.000000,1700.000000,200.000000
276,600.000000,24042.000000,2300.000000,51600.000000,9500.000000,700.000000,3500.000000,89900.000000,2200.000000,0.000000,0.000000,0.000000,500.000000,,2100.000000,3500.000000,200.000000,8700.000000,1100.000000,0.000000
277,700.000000,12900.000000,755.000000,11200.000000,300.000000,600.000000,200.000000,52100.000000,800.000000,500.000000,215.000000,0.000000,2000.000000,,900.000000,5200.000000,600.000000,10400.000000,100.000000,200.000000
278,800.000000,35200.000000,200.000000,47400.000000,800.000000,1900.000000,2800.000000,45900.000000,0.000000,200.000000,5000.000000,0.000000,16100.000000,,0.000000,37100.000000,2100.000000,5900.000000,5600.000000,0.000000
279,3100.000000,40000.000000,200.000000,54700.000000,400.000000,900.000000,10100.000000,66000.000000,1500.000000,5727.000000,0.000000,0.000000,200.000000,,3500.000000,600.000000,4300.000000,5000.000000,1900.000000,400.000000
280,3200.000000,23800.000000,5200.000000,15200.000000,600.000000,500.000000,7300.000000,20500.000000,0.000000,1300.000000,,1700.000000,2700.000000,,600.000000,2600.000000,2800.000000,11300.000000,200.000000,0.000000
