bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
10,244060.000000,2389443.000000,490441.230000,2809093.000000,226791.000000,174000.000000,583894.000000,572258.000000,81796.000000,28145.500000,17716.920000,64815.000000,275975.000000,,437455.000000,504413.000000,173386.000000,213426.000000,532936.000000,20570.760000
11,121819.000000,3629122.000000,103998.100000,2292213.000000,152291.000000,40748.000000,587242.000000,486682.000000,4470.870000,73456.340000,33237.000000,11775.000000,161334.000000,,68445.000000,488043.000000,330117.000000,530797.000000,217186.000000,34277.200000
12,106148.000000,5075060.000000,9706.000000,2179387.000000,63204.000000,99746.000000,305786.000000,442980.000000,247427.130000,148813.320000,93519.910000,13762.000000,48616.000000,,106763.000000,688558.000000,44303.000000,190487.000000,679296.000000,45512.000000
13,53081.000000,6466519.000000,133147.800000,2351866.000000,218209.000000,120179.000000,213602.000000,507358.000000,181491.960000,102140.640000,38039.700000,117935.000000,299488.000000,,144975.000000,775240.000000,700292.000000,275949.000000,202682.000000,67959.120000
14,177827.000000,2158818.000000,101002.950000,2594246.000000,54501.000000,22630.000000,170932.000000,832661.000000,136513.200000,147699.940000,80012.000000,196105.000000,376476.000000,,84654.000000,409016.000000,84256.000000,110752.000000,345611.000000,84726.320000
15,21792.000000,5381911.000000,108410.200000,1695702.000000,140452.000000,88187.000000,210426.000000,473386.000000,42793.000000,107344.170000,41507.050000,13706.000000,87340.000000,,31418.000000,95671.000000,324601.000000,119066.000000,174811.000000,363479.120000
16,27921.000000,2551906.000000,155271.540000,3746438.000000,123161.000000,169438.000000,161552.000000,420745.000000,442331.840000,155250.420000,246208.440000,90203.000000,177601.000000,,34178.000000,755925.000000,1073856.000000,282072.000000,2180456.000000,73337.980000
17,129634.000000,5964241.000000,210798.650000,1370324.000000,91737.000000,63247.000000,378333.000000,329259.000000,296114.240000,532210.620000,152731.110000,21564.000000,124473.000000,,140845.000000,521335.000000,172378.000000,303149.000000,546320.000000,84104.000000
18,66971.000000,5012784.980000,348734.690000,1855101.000000,31530.000000,13550.000000,131420.000000,403326.000000,468944.720000,92709.900000,56309.180000,0.000000,81526.000000,,187106.000000,801108.000000,44184.000000,184117.000000,1323193.000000,52711.750000
19,57305.000000,3817334.000000,102445.160000,1449627.000000,17202.000000,31611.000000,412842.000000,868255.000000,192993.520000,182122.000000,0.000000,49050.000000,288746.000000,,195178.000000,182923.000000,76415.000000,69111.000000,826400.000000,59907.490000
20,167069.000000,3212455.000000,129724.670000,1829782.000000,63103.000000,18067.000000,119634.000000,703878.000000,127189.540000,130340.830000,16626.000000,397496.000000,138741.000000,,50561.000000,531504.000000,213147.000000,276471.000000,2077896.000000,153842.840000
21,142393.000000,1839732.000000,176911.040000,1448700.000000,74592.000000,166885.000000,423887.000000,556603.000000,69905.500000,190943.620000,79578.870000,52852.000000,43560.000000,,62867.000000,357236.000000,80392.000000,201097.000000,366192.000000,46254.320000
22,239217.000000,2630715.000000,66384.240000,1653402.000000,31592.000000,11261.000000,169016.000000,450009.000000,164779.680000,51223.500000,47795.790000,107571.000000,39141.000000,,173549.000000,174196.000000,305374.000000,242738.000000,252845.000000,6330.060000
23,554368.000000,2532143.000000,97001.890000,2428027.000000,5742.000000,42784.000000,230171.000000,557519.000000,120159.090000,98810.090000,158483.860000,9777.000000,52852.000000,,143427.000000,287582.000000,68241.000000,446085.000000,494979.000000,113355.510000
24,219282.000000,5778380.000000,132671.300000,3987847.000000,22952.000000,13506.000000,184190.000000,859420.000000,62038.500000,121419.820000,265565.950000,13699.000000,41992.000000,,30033.000000,444401.000000,517380.000000,182518.000000,342738.000000,29501.000000
25,341830.000000,1979837.000000,176542.240000,2261708.000000,114664.000000,204523.000000,281586.000000,353909.000000,0.000000,454692.000000,195760.430000,252153.000000,153914.000000,,384727.000000,1252996.000000,384398.000000,741807.000000,158290.000000,231926.190000
26,48816.000000,2982364.000000,104714.900000,1009118.000000,97394.000000,228829.000000,269128.000000,427583.000000,411177.630000,153930.530000,90606.000000,314257.000000,79320.000000,,107631.000000,208706.000000,947940.000000,446196.000000,207256.000000,20515.640000
27,292614.000000,2127813.000000,121002.640000,1725478.000000,68726.000000,168455.000000,563894.000000,129530.000000,178798.200000,384832.890000,201413.800000,348675.000000,550223.000000,,247730.000000,278209.000000,195520.000000,541671.000000,271152.000000,404056.360000
28,1334311.000000,2997739.000000,715411.320000,9027407.000000,277682.000000,29124.000000,330818.000000,250125.000000,510406.000000,258738.760000,187825.000000,151391.000000,66062.000000,,379709.000000,304225.000000,262725.000000,1001007.000000,170706.000000,9008.000000
29,380936.000000,1873227.000000,375635.060000,1636869.000000,77515.000000,134408.000000,354937.000000,386757.000000,363504.130000,183130.800000,129935.430000,286620.000000,119288.000000,,51681.000000,208528.000000,453561.000000,240433.000000,183630.000000,14495.560000
30,84657.000000,4017057.000000,118311.110000,2086301.000000,66032.000000,38074.000000,66909.000000,492742.000000,377556.690000,84668.650000,40136.460000,29222.000000,604028.000000,,76196.000000,538487.000000,222478.000000,31415.000000,181582.000000,164871.270000
31,93339.000000,2521194.000000,341184.260000,4006617.040000,8602.000000,58239.000000,69834.000000,306583.000000,49785.240000,154137.380000,20692.960000,11694.000000,13646.000000,,89785.000000,1796650.000000,1024260.000000,171663.000000,98226.000000,40614.000000
32,53413.000000,2038407.000000,167417.860000,2752340.880000,111826.000000,105216.000000,482508.000000,1037443.000000,97377.140000,266290.370000,513204.220000,109367.000000,125096.000000,,27202.000000,199426.000000,1050937.000000,1479911.000000,166370.000000,40130.810000
33,668148.000000,2064180.000000,639186.940000,3111763.120000,320765.000000,38000.000000,315636.820000,293875.000000,62391.700000,400409.730000,330008.170000,37040.000000,316591.000000,,236598.000000,363996.000000,676597.000000,885921.000000,583524.000000,94538.950000
